BIOMASS CALCULATION RESULTS
==================================================
Generated on: 2025-11-23 08:17:11
Total records: 2522

plot	subplot	year	origin	tree status	speccode	tree number	dbh	height	Total (KG)
1136166	1	2005	Natural Stand	L 	13	1801	5	4.48	5.3437
1136166	1	2017	Natural Stand	L 	13	1924	16.2	13.4	78.7147
1136166	1	2017	Natural Stand	L 	13	1925	15.6	13.1	72.2315
1136166	1	2017	Natural Stand	L 	13	1926	16.3	13	78.5649
1136166	1	2017	Natural Stand	L 	13	1927	18.1	12.7	96.1736
1136166	1	2017	Natural Stand	L 	13	1928	15.9	12.6	73.7128
1136166	1	2017	Natural Stand	L 	13	1929	17	11.8	82.3713
1136166	1	2017	Natural Stand	L 	13	1930	8.6	7.6	17.6696
1136166	1	2017	Natural Stand	L 	13	1931	10.4	7.6	26.4951
1136166	1	2017	Natural Stand	L 	13	1932	6	5.5	7.8859
1136191	1	2005	Natural Stand	L 	13	2049	17.2	15.07	94.1669
1136191	1	2005	Natural Stand	L 	13	2050	17.6	14.74	97.3263
1136191	1	2005	Natural Stand	L 	13	2051	16.4	13.74	81.6548
1136191	1	2005	Natural Stand	L 	13	2052	18.1	13.69	99.2203
1136191	1	2005	Natural Stand	L 	13	2053	20.9	13.45	131.9254
1136191	1	2005	Natural Stand	L 	13	2054	14.9	12.82	65.2498
1136191	1	2005	Natural Stand	L 	13	2055	14.6	12.71	62.4061
1136191	1	2005	Natural Stand	L 	13	2056	14.4	11.7	58.5015
1136191	1	2005	Natural Stand	L 	13	2057	15.7	11.22	68.7438
1136191	1	2005	Natural Stand	L 	13	2058	10.2	11.13	28.7788
1136191	1	2005	Natural Stand	L 	13	2059	13.4	10.85	49.0843
1136191	1	2005	Natural Stand	L 	13	2060	10.3	9.3	27.1529
1136191	1	2005	Natural Stand	L 	13	2061	8.2	7.5	15.9437
1136191	1	2005	Natural Stand	L 	13	2062	5.4	4.83	6.2876
1136191	1	2010	Natural Stand	L 	13	2132	17.4	15.3	97.1376
1136191	1	2010	Natural Stand	L 	13	2133	21	15	139.3882
1136191	1	2010	Natural Stand	L 	13	2134	17.8	14.4	98.3242
1136191	1	2010	Natural Stand	L 	13	2135	20.9	14.2	134.7448
1136191	1	2010	Natural Stand	L 	13	2136	16.5	13.7	82.5245
1136191	1	2010	Natural Stand	L 	13	2137	18.6	13.7	104.8404
1136191	1	2010	Natural Stand	L 	13	2138	15	13.2	67.0783
1136191	1	2010	Natural Stand	L 	13	2139	15.6	13.1	72.2315
1136191	1	2010	Natural Stand	L 	13	2140	15	12.2	64.6493
1136191	1	2010	Natural Stand	L 	13	2141	16.5	12	77.9259
1136191	1	2010	Natural Stand	L 	13	2142	13.9	11.3	53.7063
1136191	1	2010	Natural Stand	L 	13	2143	10.3	11.1	29.2943
1136191	1	2010	Natural Stand	L 	13	2144	8.5	10.2	19.2477
1136191	1	2010	Natural Stand	L 	13	2145	10.6	9.4	28.9006
1136191	1	2010	Natural Stand	L 	13	2146	8.7	8.2	18.4473
1136191	1	2010	Natural Stand	L 	13	2147	7.1	6.3	11.4313
1136191	1	2010	Natural Stand	L 	13	2148	5.5	6.1	6.6196
1136191	1	2010	Natural Stand	L 	13	2149	4.8	5.72	4.9183
1136191	1	2010	Natural Stand	L 	13	2150	5.8	5	7.3470
1136191	1	2010	Natural Stand	L 	13	2151	3.2	3.63	2.0346
1136191	1	2010	Natural Stand	L 	13	2152	3.4	3.27	2.3986
1136191	1	2010	Natural Stand	L 	13	2153	2.7	2.91	1.4674
1136191	1	2010	Natural Stand	L 	13	2154	3.3	2.03	3.0127
