BIOMASS CALCULATION RESULTS
==================================================
Generated on: 2025-11-22 10:33:54
Total records: 1104

plot	plotkey	year	origin	tree status	tree number	speccode	dbh	height	Bark (KG)	Foliage (KG)	Branch (KG)	Crown (KG)	Stem (KG)	Total (KG)
SR2230PSP	9061	1995	N	L	10	117	9.9	12.2	N/A	N/A	N/A	N/A	N/A	N/A
FCBOW12-9A-0PGP	4688	2010	N	L	466	3	18	17.3	7.3048	5.7586	8.5062	14.2648	91.0687	105.3335
HEM_DEVI944PGP	12137	1992	N	L	7	19	44.5	22	95.6592	49.1190	117.6223	166.7413	618.3550	785.0963
HEM_LAWR130PGP	12194	1991	N	L	20	14	24.1	20	17.0586	14.6495	16.7910	31.4404	157.7055	189.1459
SR2231PSP	9062	2001	N	L	102	33	26.7	20.3	22.8473	8.9102	74.5068	83.4170	252.9437	336.3607
HEM_DICK711PGP	12155	1990	N	L	33	1001	7.5	11	N/A	N/A	N/A	N/A	N/A	N/A
SR3009PSP	9073	1994	N	L	47	41	9.6	13	4.3935	1.6445	4.5620	6.2064	27.6909	33.8973
SR0405PSP	8982	1993	N	L	51	86	46.3	27.4	N/A	N/A	N/A	N/A	N/A	N/A
SR4406PSP	9127	1999	N	L	2	169	21.1	19.1	N/A	N/A	N/A	N/A	N/A	N/A
SR1001PSP	8985	1992	N	L	100	55	2.5	5.65	N/A	N/A	N/A	N/A	N/A	N/A
SR0012PSP	8952	1998	N	L	20	44	10.5	10.9	2.3196	1.6820	9.6912	11.3733	35.2033	46.5766
1239491PIP	10556	2017	N	L	70	1005	11.9	10	N/A	N/A	N/A	N/A	N/A	N/A
MAN1994007PSP	2935	2006	N	L	53	74	9.1	15.05	3.3275	0.9556	2.0952	3.0507	17.6290	20.6798
SR5416PSP	9193	1998	N	L	43	169	8.2	8.3	N/A	N/A	N/A	N/A	N/A	N/A
FCTEM2002099PGP	5924	2014	N	L	29	20	21.4	14.4	15.3123	13.9767	16.7937	30.7704	99.3600	130.1304
SR5417PSP	9194	1999	N	L	12	42	52.4	21.8	N/A	N/A	N/A	N/A	N/A	N/A
BP1994009PSP	3219	2021	N	L	203	38	21.2	19.6	20.9204	8.0516	32.8651	40.9167	144.6127	185.5294
NOR2013002PSP	11781	2013	N	L	64	14	21.5	18.6	13.4365	11.1116	11.5533	22.6649	121.8345	144.4994
SR1002PSP	8986	2013	N	L	13	89	40.9	31.8	N/A	N/A	N/A	N/A	N/A	N/A
SR0404PSP	8981	1998	N	L	21	41	40.2	28.5	88.7883	18.0794	244.0974	262.1768	603.6904	865.8671
BP1994005PSP	3215	1994	N	L	496	38	12	12.21	5.3222	3.1751	7.6860	10.8611	35.0946	45.9557
SR4424PSP	9141	1998	N	L	52	169	30	18.8	N/A	N/A	N/A	N/A	N/A	N/A
SR1210PSP	9011	1994	N	L	28	136	2.5	3.78	N/A	N/A	N/A	N/A	N/A	N/A
SR1015PSP	8992	1994	N	L	95	88	26.9	16.71	N/A	N/A	N/A	N/A	N/A	N/A
SR0016PSP	8956	1995	N	L	59	40	7.1	7.01	1.6529	0.6256	1.9245	2.5501	9.0381	11.5882
SR5404PSP	9181	2012	N	L	37	177	40.9	29.5	N/A	N/A	N/A	N/A	N/A	N/A
SR0217PSP	8977	1995	N	L	51	47	26.1	20.3	33.4566	5.5415	36.1961	41.7376	227.0367	268.7743
FCBOW78-2626-6PGP	4816	2004	N	L	75	12	9.3	8.91	1.9683	4.2185	2.9408	7.1592	13.2237	20.3829
SR1201PSP	9002	2007	N	L	22	90	31.9	22.2	N/A	N/A	N/A	N/A	N/A	N/A
SR0003PSP	8943	1993	N	L	38	46	8.9	14.22	3.1782	1.6193	6.0254	7.6447	24.3911	32.0358
FCDOM200244PGP	5471	2002	N	L	83	41	21.5	19.9	23.8697	6.3418	42.8810	49.2228	156.9852	206.2080
SR5023PSP	9160	1996	N	L	36	5	23.2	11.1	N/A	N/A	N/A	N/A	N/A	N/A
CE0006PSP	8652	2020	N	L	81	139	11.3	13.4	N/A	N/A	N/A	N/A	N/A	N/A
FCBOW56-027-0PGP	4882	2001	N	L	637	25	2.6	4.72	0.1308	0.3318	0.1707	0.5025	0.7787	1.2812
KLK1994027PSP	3417	1994	N	L	10	3	13.3	11.37	3.9042	3.4126	4.0953	7.5080	44.3718	51.8798
SR5023PSP	9160	1996	N	L	58	5	28.4	9.5	N/A	N/A	N/A	N/A	N/A	N/A
1232631PIP	6718	2012	N	L	105	32	16.6	12.57	10.3054	3.6824	18.8156	22.4980	83.9172	106.4152
SR0205PSP	8965	1993	N	L	3	111	16.1	6.75	N/A	N/A	N/A	N/A	N/A	N/A
SR5407PSP	9184	1995	N	L	37	169	16.9	11.8	N/A	N/A	N/A	N/A	N/A	N/A
FCTEM2001018PGP	5811	2001	N	L	186	12	4.3	4.26	0.3333	1.3605	0.5900	1.9505	1.8745	3.8250
CE7006PSP	8884	2004	N	L	21	51	11	12.4	4.6178	1.4621	4.9269	6.3890	22.8023	29.1913
BAN2004025PGP	12332	2004	N	L	34	139	17.7	13.3	N/A	N/A	N/A	N/A	N/A	N/A
FCTEM_KAP2000046PGP	5728	2005	N	L	132	13	21	16.27	14.1350	12.2172	15.8277	28.0449	114.9450	142.9899
LD1605PGP	10750	2007	N	L	4	58	31.1	24.4	37.5937	5.7971	79.7644	85.5615	332.7627	418.3242
SR0210PSP	8970	1998	N	L	69	47	3.6	7.8	0.5755	0.4958	0.3532	0.8490	3.1450	3.9941
ACH_NPGP	12072	1963	N	L	74	75	23.4	17.7	N/A	N/A	N/A	N/A	N/A	N/A
LD1501PGP	10740	2002	N	L	75	58	20	19.1	16.7022	3.3653	32.8378	36.2030	142.0159	178.2189
SR5007PSP	9150	1999	N	L	20	169	6.1	6.3	N/A	N/A	N/A	N/A	N/A	N/A
ACH_APGP	12059	1952	N	L	116	1	17.3	16.8	N/A	N/A	N/A	N/A	N/A	N/A
SR2205PSP	9044	2015	N	L	52	46	7.5	10.6	2.2590	1.3124	4.1143	5.4267	16.8999	22.3266
SR4424PSP	9141	1995	N	L	52	169	29.4	17.7	N/A	N/A	N/A	N/A	N/A	N/A
SR0008PSP	8948	1994	N	L	1	33	19.2	16.8	11.6470	5.8848	26.7891	32.6739	126.7718	159.4456
SR4426PSP	9142	1995	N	L	46	94	42.1	19.5	N/A	N/A	N/A	N/A	N/A	N/A
ARGS242PGP	12032	1977	N	L	10	37	23.4	12.8	22.9411	9.1630	59.7644	68.9273	196.4288	265.3562
COC2019002PSP	10594	2019	N	L	59	903	9	9.9	N/A	N/A	N/A	N/A	N/A	N/A
SR5024PSP	9161	1997	N	L	6	124	4.2	7.06	N/A	N/A	N/A	N/A	N/A	N/A
SR4408PSP	9129	1998	N	L	142	51	3.4	4.7	0.3934	0.2137	0.3559	0.5696	1.4667	2.0363
FCBOW56-2005-14PGP	5165	2018	N	L	1	2	3.8	4.8	0.2913	0.3357	0.1300	0.4656	1.7694	2.2350
ARGS060PGP	11851	1977	N	L	33	19	26.7	17.37	29.1218	20.6166	36.9773	57.5940	183.9261	241.5201
SR5416PSP	9193	2010	N	L	46	169	14.8	18	N/A	N/A	N/A	N/A	N/A	N/A
SR5007PSP	9150	1999	N	L	58	46	2.9	4.8	0.3395	0.4087	0.4948	0.9035	2.2082	3.1117
ARGS061PGP	11852	1982	N	L	22	30	43.9	23.47	N/A	N/A	N/A	N/A	N/A	N/A
COC1994001PSP	3264	2016	N	L	136	20	8.2	7	1.6095	2.8177	1.4680	4.2857	9.9932	14.2789
CE2007PSP	8751	1998	N	L	38	2	33.9	17.2	26.0135	31.0684	53.5622	84.6306	338.5586	423.1892
SR1017PSP	8994	1994	N	L	64	41	12.4	13.2	7.5184	2.5240	9.2905	11.8145	48.0291	59.8436
SR0205PSP	8965	1993	N	L	57	50	7.2	9.47	0.9876	1.0641	2.9810	4.0451	7.5413	11.5863
FCACI_FF200501PGP	4631	2010	N	L	39	45	16	14.8	10.2112	2.3252	10.7633	13.0884	73.6256	86.7140
SR1004PSP	8988	1993	N	L	3	78	28.5	22.3	N/A	N/A	N/A	N/A	N/A	N/A
SR4401PSP	9122	1992	N	L	21	58	4.1	4.9	0.9078	0.4777	1.3577	1.8354	6.6939	8.5293
SR0204PSP	8964	1993	N	L	51	33	3.7	5.71	0.4028	0.7415	0.1621	0.9036	4.0290	4.9326
SR0205PSP	8965	1993	N	L	34	60	9.2	13.7	N/A	N/A	N/A	N/A	N/A	N/A
SR5414PSP	9191	1999	N	L	288	47	16.3	13.2	12.7400	3.1225	12.0464	15.1688	82.0516	97.2204
1239161PIP	10222	2016	N	L	118	25	11.6	13.5	3.0727	3.0691	5.0520	8.1212	28.2576	36.3787
SR4426PSP	9142	1999	N	L	45	94	25.8	21.3	N/A	N/A	N/A	N/A	N/A	N/A
HEM_DICK611PGP	12148	1992	N	L	40	19	3.6	3.6	0.2743	0.6844	0.3950	1.0794	1.5830	2.6625
