BIOMASS CALCULATION RESULTS
==================================================
Generated on: 2025-11-18 09:45:54
Total records: 17664

plot	plotkey	year	origin	tree status	tree number	speccode	dbh	height	Wood (KG)
BY_MCPGP	3508	2006	N	L	67	139	9.7	12.9	N/A
SR0217PSP	8977	2000	N	L	13	78	19.3	14.5	N/A
SR5009PSP	9152	1998	N	L	21	111	2.9	5.15	N/A
IFF1993009PSP	3361	2018	N	L	205	903	7.8	9.6	N/A
SR2220PSP	9052	1994	N	L	26	30	3.0	5.95	N/A
HEM_DICK598PGP	12146	1991	N	L	11	1001	14.0	12.5	N/A
SR0209PSP	8969	1994	N	L	19	60	17.6	22	N/A
SR0201PSP	8961	1992	N	L	7	39	52.9	32	N/A
SR1001PSP	8985	2007	N	L	93	1196	6.7	10.2	N/A
CE1007PSP	8714	1993	N	L	87	1	2.6	3.16	N/A
LD0306PGP	10681	2012	N	L	87	1001	8.5	8.4	N/A
SR0216PSP	8976	1995	N	L	14	42	43.6	23	N/A
SR1401PSP	9018	2012	N	L	22	58	24.8	24.4	190.2360
CE6205PSP	8875	1999	N	L	23	50	15.1	17.9	44.3056
KLK1994037PSP	3427	2005	N	L	16	32	5.8	8.05	6.2535
SR1201PSP	9002	2007	N	L	54	51	28.9	21	186.5487
NOR2013002PSP	11781	2013	N	L	72	14	39.7	23	439.2148
ARGS064PGP	11855	1982	N	L	4	32	20.6	19.8	122.1220
1239491PIP	10556	2017	N	L	72	1005	7.5	9.9	N/A
CE3026PSP	8785	1998	N	L	3	32	9.6	13.3	20.3830
FCACI_FF200401PGP	4548	2004	N	L	73	32	5.8	5.84	6.2535
FCNEE_KC2000147PGP	5220	2000	N	L	160	73	3.2	4.95	0.8844
SR0406PSP	8983	1998	N	L	31	40	35.9	25.8	324.1663
1253101PIP	9	2007	N	L	82	1092	19.0	13.9	N/A
HEM_MCLA192PGP	12213	1991	N	L	13	30	14.2	17	N/A
HEM_LAWR228PGP	12201	1991	N	L	13	14	40.0	14	446.8234
