BIOMASS CALCULATION RESULTS
==================================================
Generated on: 2025-11-21 12:37:34
Total records: 1104

plot	plotkey	year	origin	tree status	tree number	speccode	dbh	height	Wood (KG)	Bark (KG)	Branch (KG)	Foliage (KG)	Stem (KG)	Crown (KG)	Total (KG)
SR5404PSP	9181	1993	N	L	37	177	31.7	25.8	N/A	N/A	N/A	N/A	N/A	N/A	N/A
SR2230PSP	9061	1995	N	L	10	117	9.9	12.2	N/A	N/A	N/A	N/A	N/A	N/A	N/A
FCBOW12-9A-0PGP	4688	2010	N	L	466	3	18	17.3	91.2515	7.8416	7.7809	5.7041	99.0931	13.4850	112.5781
HEM_DEVI944PGP	12137	1992	N	L	7	19	44.5	22	547.9468	95.9187	120.4499	46.3385	643.8655	166.7884	810.6539
HEM_LAWR130PGP	12194	1991	N	L	20	14	24.1	20	180.8877	16.8953	18.9855	14.5790	197.7830	33.5645	231.3475
SR2231PSP	9062	2001	N	L	102	33	26.7	20.3	213.9360	22.3020	80.3239	9.9255	236.2380	90.2494	326.4873
HEM_DICK711PGP	12155	1990	N	L	33	1001	7.5	11	N/A	N/A	N/A	N/A	N/A	N/A	N/A
SR3009PSP	9073	1994	N	L	47	41	9.6	13	25.6338	5.6722	2.9823	1.9114	31.3060	4.8937	36.1997
SR0405PSP	8982	1993	N	L	51	86	46.3	27.4	N/A	N/A	N/A	N/A	N/A	N/A	N/A
SR4406PSP	9127	1999	N	L	2	169	21.1	19.1	N/A	N/A	N/A	N/A	N/A	N/A	N/A
SR1001PSP	8985	1992	N	L	100	55	2.5	5.65	N/A	N/A	N/A	N/A	N/A	N/A	N/A
SR0012PSP	8952	1998	N	L	20	44	10.5	10.9	27.7116	2.1808	9.4504	1.7572	29.8924	11.2076	41.1000
1239491PIP	10556	2017	N	L	70	1005	11.9	10	N/A	N/A	N/A	N/A	N/A	N/A	N/A
MAN1994007PSP	2935	2006	N	L	53	74	9.1	15.05	18.0578	3.7596	1.6266	0.9625	21.8174	2.5891	24.4065
SR5416PSP	9193	1998	N	L	43	169	8.2	8.3	N/A	N/A	N/A	N/A	N/A	N/A	N/A
FCTEM2002099PGP	5924	2014	N	L	29	20	21.4	14.4	81.5480	15.0787	17.0205	14.1567	96.6266	31.1772	127.8039
SR5417PSP	9194	1999	N	L	12	42	52.4	21.8	N/A	N/A	N/A	N/A	N/A	N/A	N/A
BP1994009PSP	3219	2021	N	L	203	38	21.2	19.6	145.6305	24.1906	25.3900	5.8242	169.8212	31.2142	201.0354
NOR2013002PSP	11781	2013	N	L	64	14	21.5	18.6	135.3842	13.4177	13.0058	11.2497	148.8019	24.2555	173.0574
SR1002PSP	8986	2013	N	L	13	89	40.9	31.8	N/A	N/A	N/A	N/A	N/A	N/A	N/A
SR0404PSP	8981	1998	N	L	21	41	40.2	28.5	807.8806	104.9697	307.2722	17.4392	912.8503	324.7114	1237.5617
BP1994005PSP	3215	1994	N	L	496	38	12	12.21	32.3790	5.7352	6.5074	2.6603	38.1142	9.1677	47.2819
SR4424PSP	9141	1998	N	L	52	169	30	18.8	N/A	N/A	N/A	N/A	N/A	N/A	N/A
SR1210PSP	9011	1994	N	L	28	136	2.5	3.78	N/A	N/A	N/A	N/A	N/A	N/A	N/A
SR1015PSP	8992	1994	N	L	95	88	26.9	16.71	N/A	N/A	N/A	N/A	N/A	N/A	N/A
SR0016PSP	8956	1995	N	L	59	40	7.1	7.01	8.8921	1.8742	1.7339	0.5934	10.7662	2.3273	13.0935
SR5404PSP	9181	2012	N	L	37	177	40.9	29.5	N/A	N/A	N/A	N/A	N/A	N/A	N/A
SR0217PSP	8977	1995	N	L	51	47	26.1	20.3	187.0828	33.3093	35.3286	5.4191	220.3921	40.7477	261.1398
FCBOW78-2626-6PGP	4816	2004	N	L	75	12	9.3	8.91	12.2006	2.2518	2.5833	3.5965	14.4525	6.1799	20.6323
SR1201PSP	9002	2007	N	L	22	90	31.9	22.2	N/A	N/A	N/A	N/A	N/A	N/A	N/A
SR0003PSP	8943	1993	N	L	38	46	8.9	14.22	23.8578	3.7383	5.4572	1.5530	27.5960	7.0101	34.6062
FCDOM200244PGP	5471	2002	N	L	83	41	21.5	19.9	175.9296	29.1303	40.3333	6.6365	205.0599	46.9698	252.0297
SR5023PSP	9160	1996	N	L	36	5	23.2	11.1	N/A	N/A	N/A	N/A	N/A	N/A	N/A
CE0006PSP	8652	2020	N	L	81	139	11.3	13.4	N/A	N/A	N/A	N/A	N/A	N/A	N/A
FCBOW56-027-0PGP	4882	2001	N	L	637	25	2.6	4.72	0.8056	0.1509	0.1116	0.2555	0.9565	0.3671	1.3235
KLK1994027PSP	3417	1994	N	L	10	3	13.3	11.37	32.4569	3.7638	4.6561	3.3206	36.2207	7.9767	44.1974
SR5023PSP	9160	1996	N	L	58	5	28.4	9.5	N/A	N/A	N/A	N/A	N/A	N/A	N/A
1232631PIP	6718	2012	N	L	105	32	16.6	12.57	63.5487	10.0616	19.6506	3.7528	73.6103	23.4033	97.0137
SR0205PSP	8965	1993	N	L	3	111	16.1	6.75	N/A	N/A	N/A	N/A	N/A	N/A	N/A
SR5407PSP	9184	1995	N	L	37	169	16.9	11.8	N/A	N/A	N/A	N/A	N/A	N/A	N/A
FCTEM2001018PGP	5811	2001	N	L	186	12	4.3	4.26	1.4895	0.3770	0.5590	1.3011	1.8665	1.8601	3.7266
CE7006PSP	8884	2004	N	L	21	51	11	12.4	18.8246	4.6141	4.1844	1.1832	23.4387	5.3676	28.8062
BAN2004025PGP	12332	2004	N	L	34	139	17.7	13.3	N/A	N/A	N/A	N/A	N/A	N/A	N/A
FCTEM_KAP2000046PGP	5728	2005	N	L	132	13	21	16.27	104.8324	14.4612	14.5316	11.3891	119.2936	25.9207	145.2143
LD1605PGP	10750	2007	N	L	4	58	31.1	24.4	406.2812	45.8333	118.2681	5.2261	452.1145	123.4942	575.6087
SR0210PSP	8970	1998	N	L	69	47	3.6	7.8	1.9676	0.8500	0.3487	0.4063	2.8176	0.7550	3.5726
ACH_NPGP	12072	1963	N	L	74	75	23.4	17.7	N/A	N/A	N/A	N/A	N/A	N/A	N/A
LD1501PGP	10740	2002	N	L	75	58	20	19.1	139.2407	18.0932	27.8258	3.1453	157.3339	30.9711	188.3050
SR5007PSP	9150	1999	N	L	20	169	6.1	6.3	N/A	N/A	N/A	N/A	N/A	N/A	N/A
ACH_APGP	12059	1952	N	L	116	1	17.3	16.8	N/A	N/A	N/A	N/A	N/A	N/A	N/A
SR2205PSP	9044	2015	N	L	52	46	7.5	10.6	12.4793	2.2369	3.6785	1.0305	14.7162	4.7090	19.4253
SR4424PSP	9141	1995	N	L	52	169	29.4	17.7	N/A	N/A	N/A	N/A	N/A	N/A	N/A
SR0008PSP	8948	1994	N	L	1	33	19.2	16.8	98.6075	11.1124	32.0360	7.4647	109.7200	39.5008	149.2208
SR4426PSP	9142	1995	N	L	46	94	42.1	19.5	N/A	N/A	N/A	N/A	N/A	N/A	N/A
ARGS242PGP	12032	1977	N	L	10	37	23.4	12.8	124.8789	19.3266	59.9239	9.4135	144.2055	69.3374	213.5429
COC2019002PSP	10594	2019	N	L	59	903	9	9.9	N/A	N/A	N/A	N/A	N/A	N/A	N/A
SR5024PSP	9161	1997	N	L	6	124	4.2	7.06	N/A	N/A	N/A	N/A	N/A	N/A	N/A
SR4408PSP	9129	1998	N	L	142	51	3.4	4.7	0.7658	0.2349	0.1721	0.1380	1.0008	0.3101	1.3108
FCBOW56-2005-14PGP	5165	2018	N	L	1	2	3.8	4.8	0.9078	0.4362	0.1766	0.5251	1.3441	0.7017	2.0458
ARGS060PGP	11851	1977	N	L	33	19	26.7	17.37	167.1365	31.0704	34.6561	19.1533	198.2069	53.8094	252.0162
SR5416PSP	9193	2010	N	L	46	169	14.8	18	N/A	N/A	N/A	N/A	N/A	N/A	N/A
SR5007PSP	9150	1999	N	L	58	46	2.9	4.8	0.9272	0.2506	0.4118	0.2041	1.1778	0.6158	1.7937
ARGS061PGP	11852	1982	N	L	22	30	43.9	23.47	N/A	N/A	N/A	N/A	N/A	N/A	N/A
COC1994001PSP	3264	2016	N	L	136	20	8.2	7	7.5162	1.3355	1.5006	2.8293	8.8518	4.3299	13.1817
CE2007PSP	8751	1998	N	L	38	2	33.9	17.2	239.3230	21.9312	63.6552	34.5923	261.2541	98.2475	359.5017
SR1017PSP	8994	1994	N	L	64	41	12.4	13.2	41.8040	9.0716	6.5641	2.8376	50.8756	9.4017	60.2773
SR0205PSP	8965	1993	N	L	57	50	7.2	9.47	7.2314	0.9908	2.9528	0.9052	8.2222	3.8580	12.0801
FCACI_FF200501PGP	4631	2010	N	L	39	45	16	14.8	61.2023	10.3433	10.9426	2.2925	71.5456	13.2350	84.7807
SR1004PSP	8988	1993	N	L	3	78	28.5	22.3	N/A	N/A	N/A	N/A	N/A	N/A	N/A
SR4401PSP	9122	1992	N	L	21	58	4.1	4.9	1.5900	0.4134	0.1020	0.6549	2.0034	0.7569	2.7603
SR0204PSP	8964	1993	N	L	51	33	3.7	5.71	1.7769	0.3206	0.4059	2.4077	2.0975	2.8136	4.9111
SR0205PSP	8965	1993	N	L	34	60	9.2	13.7	N/A	N/A	N/A	N/A	N/A	N/A	N/A
SR5414PSP	9191	1999	N	L	288	47	16.3	13.2	51.0421	11.6120	11.7892	2.9279	62.6542	14.7172	77.3713
1239161PIP	10222	2016	N	L	118	25	11.6	13.5	32.7001	3.5635	3.5914	2.3967	36.2636	5.9881	42.2517
SR4426PSP	9142	1999	N	L	45	94	25.8	21.3	N/A	N/A	N/A	N/A	N/A	N/A	N/A
HEM_DICK611PGP	12148	1992	N	L	40	19	3.6	3.6	0.9108	0.2754	0.3541	0.8871	1.1862	1.2412	2.4274
SR0201PSP	8961	1997	N	L	25	39	35.2	20.8	N/A	N/A	N/A	N/A	N/A	N/A	N/A
SR3011PSP	9075	2008	N	L	35	170	5.7	6.2	N/A	N/A	N/A	N/A	N/A	N/A	N/A
SR1015PSP	8992	1994	N	L	83	88	20.9	18.5	N/A	N/A	N/A	N/A	N/A	N/A	N/A
SR5023PSP	9160	1996	N	L	50	5	11.7	8.1	N/A	N/A	N/A	N/A	N/A	N/A	N/A
CE7003PSP	8881	2005	N	L	89	12	3.1	2.6	0.5120	0.1571	0.3444	1.0331	0.6690	1.3775	2.0466
1259801PIP	223	2011	N	L	98	38	2.6	5.8	0.8183	0.1703	0.1020	0.1795	0.9886	0.2815	1.2701
SR5014PSP	9156	1994	N	L	31	33	16.3	17.3	76.9557	8.3639	16.5603	4.9589	85.3196	21.5192	106.8388
SR4001PSP	9086	1993	N	L	2	123	23.2	25.3	N/A	N/A	N/A	N/A	N/A	N/A	N/A
SR4421PSP	9139	1995	N	L	1	41	11.7	13.1	37.2528	8.1402	5.4805	2.5941	45.3931	8.0746	53.4677
ACH_NPGP	12072	1978	N	L	74	75	25.4	19.5	N/A	N/A	N/A	N/A	N/A	N/A	N/A
LSJP1993012PSP	3446	1993	N	L	162	13	16.6	11.05	47.1265	7.4433	11.7155	10.5626	54.5698	22.2781	76.8479
CE3000PSP	8759	1997	N	L	55	2	18.5	21	106.6439	9.5882	6.4504	7.2195	116.2321	13.6700	129.9021
HEA1993008PSP	3344	2006	N	L	1	73	9.6	7.93	8.7386	3.1537	2.7313	1.3659	11.8923	4.0972	15.9895
SR0213PSP	8973	1994	N	L	17	50	6.8	9.34	6.3100	0.8611	2.6057	0.8331	7.1711	3.4388	10.6099
LD2603PGP	10639	2022	N	L	162	1001	7.7	9.6	N/A	N/A	N/A	N/A	N/A	N/A	N/A
HEM_DICK604PGP	12147	1991	N	L	63	19	4.9	8	3.2728	0.7402	0.5524	1.0148	4.0129	1.5672	5.5802
FCTEM2004058PGP	6158	2004	N	L	556	12	24.5	18.12	138.5614	18.4563	21.5192	16.4026	157.0177	37.9218	194.9394
SR0208PSP	8968	1998	N	L	31	68	11.7	15.1	N/A	N/A	N/A	N/A	N/A	N/A	N/A
CE7005PSP	8883	1994	N	L	7	46	15.2	15.4	66.7080	9.6056	18.7361	2.9012	76.3135	21.6373	97.9509
FCABI200523PGP	4578	2005	N	L	188	3	31	19.16	259.4603	19.8804	37.1153	15.0761	279.3407	52.1914	331.5321
