SpecCode,SpecCommon,PlotName,DBH,HtTot,bio_wood,bio_bark,bio_foliage,bio_branches
30,Sugar Maple,SR5210PSP,16.5,21.5,16.5,16.5,16.5,16.5
30,Sugar Maple,SR5209PSP,26.3,25.4,26.3,26.3,26.3,26.3
30,Sugar Maple,CE0009PSP,7.5,10.25,7.5,7.5,7.5,7.5
30,Sugar Maple,SR3005PSP,6.5,10.2,6.5,6.5,6.5,6.5
30,Sugar Maple,SR5401PSP,25.3,18.5,25.3,25.3,25.3,25.3
30,Sugar Maple,SR2222PSP,26.1,20.9,26.1,26.1,26.1,26.1
30,Sugar Maple,SR3010PSP,53.3,27.4,53.3,53.3,53.3,53.3
30,Sugar Maple,CE3017PSP,42.6,23,42.6,42.6,42.6,42.6
30,Sugar Maple,ARGS251PGP,11.7,13.41,11.7,11.7,11.7,11.7
32,Red Maple,CE0026PSP,25,24.7,192.3,24.24,6.861,52.04
32,Red Maple,1232631PIP,16.6,12.57,73.61,10.31,3.682,18.82
32,Red Maple,KLK1994037PSP,5.8,8.05,6.254,1.145,0.7448,1.38
32,Red Maple,ARGS064PGP,20.6,19.8,122.1,16.18,5.112,32.17
32,Red Maple,CE3026PSP,9.6,13.3,20.38,3.282,1.602,4.826
32,Red Maple,FCACI_FF200401PGP,5.8,5.84,6.254,1.145,0.7448,1.38
32,Red Maple,CE7012PSP,30.3,26.54,301.8,36.23,9.19,83.91
32,Red Maple,FECGY920PGP,35.1,19.9,426.1,49.26,11.49,120.9
32,Red Maple,1253146PIP,3.2,4.7,1.551,0.3306,0.3017,0.3149
32,Red Maple,SR1021PSP,28.5,18.9,261.4,31.88,8.373,72.07
32,Red Maple,CE0060PSP,46.2,20.21,811.5,87.46,17.45,239.3
32,Red Maple,SR1216PSP,27.1,21.7,232.3,28.69,7.756,63.59
32,Red Maple,FCDOM200347PGP,13.6,14.63,46.13,6.795,2.72,11.47
32,Red Maple,CHA1999004PSP,17.4,16.68,82.2,11.37,3.955,21.15
32,Red Maple,SR0402PSP,32.2,26.5,348.1,41.14,10.08,97.6
32,Red Maple,SR0208PSP,10.5,14.5,25.15,3.958,1.836,6.03
32,Red Maple,SR1022PSP,17.6,17.9,84.43,11.65,4.025,21.76
32,Red Maple,CE2001PSP,7.6,9,11.79,2.015,1.123,2.701
32,Red Maple,SR2231PSP,44.1,24.5,727.6,79.36,16.26,213.2
32,Red Maple,CE3009PSP,3.6,6.96,2.044,0.4228,0.3608,0.4219
32,Red Maple,TBP1992024PSP,3.4,6.46,1.788,0.3752,0.3308,0.3661
32,Red Maple,CE1024PSP,14.1,13.65,50.2,7.328,2.873,12.54
32,Red Maple,CE3035PSP,4.7,6.5,3.819,0.7381,0.5411,0.8183
32,Red Maple,1321801PIP,15.4,12.3,61.74,8.81,3.285,15.62
