SpecCode,SpecCommon,PlotName,DBH,HtTot,bio_wood,bio_bark,bio_foliage,bio_branches
12,White Spruce,FCTEM2001118PGP,7,5.18,4.321,0.9782,3.34,1.882
12,White Spruce,COC2019001PSP,6.1,4.5,2.943,0.7069,2.814,1.444
12,White Spruce,CHA1995012PSP,12.1,8.3,18.26,3.361,7.28,5.846
12,White Spruce,CE0071PSP,38.4,26.5,449.5,50.62,31.34,54.93
12,White Spruce,FCTEM2003046PGP,15.5,12.9,43.76,6.81,8.044,7.932
12,White Spruce,FCBUC_LH200706PGP,23.5,10.3,74.2,11.92,27.81,31.99
12,White Spruce,FCBOW56-021-0PGP,18.7,10.4,49.7,8.141,15.97,16.51
12,White Spruce,BP1993040PSP,29.2,21.03,219.5,27.38,21.11,31.01
13,Black Spruce,TBP1992006PSP,7.7,7.6,8.429,1.528,2.44,1.636
13,Black Spruce,1314886PIP,26.8,20.3,200.6,25.58,15.76,23.47
13,Black Spruce,FCTEM_KAP2000046PGP,21,16.27,104.8,14.46,11.39,14.53
13,Black Spruce,LSJP1993012PSP,16.6,11.05,47.13,7.443,10.56,11.72
13,Black Spruce,FCWEY_KEN2003016PGP,13.6,14.01,42.15,6.152,4.566,4.369
13,Black Spruce,FCTEM2003074PGP,25.2,22.01,195.3,24.24,12.04,17.12
13,Black Spruce,LSJP1994003PSP,4.6,5.11,2.296,0.4797,1.115,0.5375
13,Black Spruce,SUD2004003PGP,7.1,5.22,5.019,1.036,3.313,2.143
13,Black Spruce,GCF1994008PGP,25.4,18.54,166.8,21.95,15.54,22.42
13,Black Spruce,CHA1995002PSP,5,5.2,2.704,0.5611,1.35,0.6878
13,Black Spruce,BP1993015PSP,9.2,7.42,11.24,2.05,3.987,3.021
13,Black Spruce,1170511PIP,8.1,6.3,7.633,1.474,3.594,2.518
13,Black Spruce,1211956PIP,11.5,10.4,23.31,3.775,4.46,3.865
13,Black Spruce,1143071PIP,18.8,12,63.66,9.76,13.0,15.62
13,Black Spruce,1184261PIP,30.3,27,331.0,38.22,14.63,23.33
13,Black Spruce,FCTEM2002012PGP,27.2,17.64,178.9,23.93,19.85,30.07
13,Black Spruce,KLK1994043PSP,9.4,8.7,13.69,2.363,3.388,2.584
13,Black Spruce,FCWEY_KEN2003021PGP,20.4,16.8,102.9,14.04,10.12,12.63
13,Black Spruce,FCBOW78-003-0PGP,29.8,19.4,230.9,29.86,22.04,35.36
13,Black Spruce,FCBOW12-167-4PGP,28.2,22.49,243.0,29.9,15.61,23.95
13,Black Spruce,FCACI_KE200005PGP,13.8,13.85,42.74,6.263,4.817,4.657
13,Black Spruce,FCBOW56-2006-06PGP,27.2,21.84,221.5,27.54,14.81,22.2
13,Black Spruce,FCABI200322PGP,22.7,19.1,141.1,18.4,11.17,14.91
13,Black Spruce,FCWEY4S2001067PGP,3.7,3.64,1.116,0.2626,1.013,0.4285
14,Red Spruce,HEM_LAWR130PGP,24.1,20,180.9,NotAv,NotAv,NotAv
14,Red Spruce,NOR2013002PSP,21.5,18.6,135.4,NotAv,NotAv,NotAv
14,Red Spruce,NOR2013002PSP,39.7,23,500.2,NotAv,NotAv,NotAv
14,Red Spruce,HEM_LAWR228PGP,40,14,251.9,NotAv,NotAv,NotAv
14,Red Spruce,HEM_LAWR228PGP,43.4,22.4,558.0,NotAv,NotAv,NotAv
14,Red Spruce,NOR2013002PSP,23.6,17.3,142.5,NotAv,NotAv,NotAv
14,Red Spruce,NOR2013002PSP,37.1,19.6,357.4,NotAv,NotAv,NotAv
14,Red Spruce,NOR2013002PSP,18.7,12.1,58.79,NotAv,NotAv,NotAv
14,Red Spruce,HEM_PECK614PGP,6.9,5,3.293,NotAv,NotAv,NotAv
14,Red Spruce,HEM_CLYD204PGP,47.8,7,127.4,NotAv,NotAv,NotAv
14,Red Spruce,NOR2013002PSP,26.4,17,167.2,NotAv,NotAv,NotAv
14,Red Spruce,CE1005PSP,3.6,3.8,0.7681,NotAv,NotAv,NotAv
14,Red Spruce,HEM_LAWR130PGP,9.4,7,8.788,NotAv,NotAv,NotAv
14,Red Spruce,NOR2013002PSP,14.9,16.4,62.07,NotAv,NotAv,NotAv
14,Red Spruce,NOR2013002PSP,17.1,16.3,77.17,NotAv,NotAv,NotAv
14,Red Spruce,NOR2013002PSP,13.1,8.5,19.93,NotAv,NotAv,NotAv
14,Red Spruce,NOR2013002PSP,21.7,13,83.06,NotAv,NotAv,NotAv
14,Red Spruce,NOR2013002PSP,29.6,19.1,237.7,NotAv,NotAv,NotAv
14,Red Spruce,CE1005PSP,3.5,3.43,0.6349,NotAv,NotAv,NotAv
14,Red Spruce,NOR2013002PSP,25.7,19.6,195.4,NotAv,NotAv,NotAv
19,Eastern Hemlock,HEM_PENT367PGP,19.4,17,88.65,16.29,10.21,14.99
19,Eastern Hemlock,HEM_DICK300PGP,27.5,20,199.7,35.21,18.66,35.09
19,Eastern Hemlock,SR5022PSP,29.3,17.55,201.7,37.56,22.94,44.14
19,Eastern Hemlock,CE4122PSP,9.9,9.08,14.15,3.183,3.865,3.37
19,Eastern Hemlock,HEM_DEVI944PGP,44.5,22,547.9,95.92,46.34,120.4
19,Eastern Hemlock,ARGS060PGP,26.7,17.37,167.1,31.07,19.15,34.66
19,Eastern Hemlock,HEM_DICK611PGP,3.6,3.6,0.9108,0.2754,0.8871,0.3541
19,Eastern Hemlock,HEM_DICK604PGP,4.9,8,3.273,0.7402,1.015,0.5524
19,Eastern Hemlock,HEM_LAWR224PGP,23,16,116.8,22.22,14.92,24.24
19,Eastern Hemlock,HEM_DICK300PGP,12.3,10,23.36,5.129,5.639,5.731
19,Eastern Hemlock,ARGS244PGP,36.1,17.98,307.9,57.54,34.4,75.96
19,Eastern Hemlock,HEM_DICK598PGP,35,17,276.5,52.7,33.44,71.83
19,Eastern Hemlock,HEM_DICK615PGP,15.7,9,34.17,7.932,9.821,11.51
19,Eastern Hemlock,ARGS059PGP,35,16.46,268.9,51.91,34.11,72.92
19,Eastern Hemlock,HEM_CLYD477PGP,3.8,6,1.566,0.3899,0.725,0.3218
19,Eastern Hemlock,SR5022PSP,6.9,6.32,5.172,1.309,2.331,1.531
19,Eastern Hemlock,HEM_DICK300PGP,27,17,167.7,31.45,19.85,36.06
19,Eastern Hemlock,HEM_DICK300PGP,16.1,13.5,50.78,10.09,8.073,10.18
19,Eastern Hemlock,ARGS021PGP,3,2.89,0.5308,0.1728,0.7027,0.2419
19,Eastern Hemlock,HEM_DICK178PGP,19.5,14,75.8,15.03,11.61,16.64
19,Eastern Hemlock,HEM_NIGH103PGP,12,7.5,17.41,4.266,6.391,6.142
19,Eastern Hemlock,HEM_CLYD477PGP,4.2,4,1.342,0.3933,1.134,0.5075
