PlotName	PlotKey	FieldSeasonYear	StandOriginCode	TreeStatusCode	TreeNum	SpecCode	DBH	HtTot
FCTEM2002103PGP	5928	2007	N	L	595	25	24.3	16.9
SR1210PSP	9011	1994	N	L	10	136	68.8	29.42
SR1004PSP	8988	1993	N	L	5	78	24	20.8
NBOR021PGP	12422	2003	N	L	2	41	34	26.3
HEM_BRUT494PGP	12092	1991	N	L	14	1001	12.3	11.5
CE4110PSP	8830	2014	N	L	77	2	2.9	3.1
SR5417PSP	9194	1995	N	L	8	124	10.7	15.9
SR1001PSP	8985	2007	N	L	36	44	7.8	14.6
SR2209PSP	9048	1995	N	L	17	55	24.2	17.4
NOR2013002PSP	11781	2013	N	L	50	14	37.1	19.6
1225561PIP	10282	2016	N	L	5	903	18.3	11
FCTEM2002047PGP	5874	2007	N	L	83	12	31.7	23.04
SR4012PSP	9097	1995	N	L	110	170	5.3	6.28
SR0208PSP	8968	1993	N	L	45	111	6.9	6.94
HEM_DICK598PGP	12146	1991	N	L	18	19	35	17
SR0407PSP	8984	1997	N	L	4	47	11.2	20.4
CE7004PSP	8882	1994	N	L	24	30	2.7	4.97
SR1401PSP	9018	2012	N	L	31	56	32.1	20.9
CE4116PSP	8836	2021	N	L	90	56	25	20.5
CE7012PSP	8890	1994	N	L	81	32	30.3	26.54
SR1202PSP	9003	2013	N	L	76	46	3.7	8.2
CE2013PSP	8756	1993	N	L	14	41	3.3	5.25
SR0208PSP	8968	1998	N	L	16	68	15.1	15
SR1209PSP	9010	2000	N	L	20	94	16.3	17.5
SR0205PSP	8965	1993	N	L	13	78	7.7	10.9
ARGS142PGP	11932	1977	N	L	17	51	32.3	24.99
SR0207PSP	8967	1993	N	L	69	123	9.9	11.5
SR0201PSP	8961	1992	N	L	53	33	5	8.24
SR0003PSP	8943	1997	N	L	25	123	9.8	13.4
ACH_MPGP	12071	1958	N	L	58	1	16	14
NOR2013002PSP	11781	2013	N	L	36	14	18.7	12.1
SR1022PSP	8999	2005	N	L	73	170	6.4	9.8
CE7007PSP	8885	1994	N	L	31	46	9.5	10.35
SR0209PSP	8969	1998	N	L	16	60	68.4	32.5
LWP1999024PSP	3132	1999	N	L	123	70	5.3	6.21
SR4423PSP	9140	1999	N	L	63	123	30.3	15.1
SR5023PSP	9160	1996	N	L	76	5	7.4	4.82
LWP1994013PSP	2922	1994	N	L	137	22	26.5	10
FCTEM2001093PGP	5802	2014	N	L	204	12	23.2	14.8
CE0015PSP	8661	1994	N	L	22	30	2.5	3.66
