plot	subplot	year	origin	tree status	speccode	tree number	dbh	height	Wood (KG)	Bark (KG)	Foliage (KG)	Branch (KG)	Crown (KG)	Stem (KG)	Total (KG)
1129066	1	2009	Natural Stand	L 	13	711	3.3	3.23	0.9603	0.2227	0.8918	0.3346	1.2265	1.183	2.4095
1129066	1	2009	Natural Stand	L 	13	712	2.7	3.15	0.5798	0.142	0.6715	0.2203	0.8918	0.7218	1.6135
1129066	1	2019	Natural Stand	L 	13	801	9.3	7.6	13.0006	2.2746	3.8608	2.8991	6.76	15.2752	22.0351
1129066	1	2019	Natural Stand	L 	13	802	10	7.5	15.6034	2.6766	4.2782	3.3724	7.6506	18.28	25.9306
1129066	1	2019	Natural Stand	L 	13	803	8	7.5	8.9026	1.6227	3.1203	2.1183	5.2386	10.5253	15.764
1129066	1	2019	Natural Stand	L 	13	804	8	7.3	8.9026	1.6227	3.1203	2.1183	5.2386	10.5253	15.764
1129066	1	2019	Natural Stand	L 	13	805	6.5	4.6	5.2814	1.0185	2.3263	1.3743	3.7006	6.3	10.0005
1129066	1	2019	Natural Stand	L 	13	806	4.4	3.9	1.9797	0.4245	1.3397	0.6094	1.9491	2.4043	4.3534
1129066	1	2019	Natural Stand	L 	13	807	3.3	3.8	0.9603	0.2227	0.8918	0.3346	1.2265	1.183	2.4095
1129066	1	2019	Natural Stand	L 	13	808	5.8	3.6	3.9656	0.7888	1.98	1.0838	3.0638	4.7544	7.8183
1129066	1	2019	Natural Stand	L 	13	809	5.4	2.7	3.3134	0.672	1.7897	0.9339	2.7236	3.9854	6.7089
1129141	1	2017	Natural Stand	L 	13	938	11.6	7.9	22.6627	3.7339	5.2774	4.5948	9.8722	26.3966	36.2688
1129141	1	2017	Natural Stand	L 	13	939	9.8	7.5	14.8305	2.5581	4.1577	3.2334	7.3911	17.3885	24.7796
1129141	1	2017	Natural Stand	L 	13	940	9	6.8	11.9716	2.1133	3.6859	2.7076	6.3935	14.0849	20.4784
1129141	1	2017	Natural Stand	L 	13	941	9.4	6.7	13.355	2.3298	3.9197	2.9645	6.8842	15.6848	22.5689
1129141	1	2017	Natural Stand	L 	13	942	6.4	4.9	5.0795	0.9837	2.2758	1.3306	3.6064	6.0632	9.6696
1129141	1	2017	Natural Stand	L 	13	943	5.4	4.3	3.3134	0.672	1.7897	0.9339	2.7236	3.9854	6.7089
1129141	1	2017	Natural Stand	L 	13	944	4.9	4.25	2.5951	0.5404	1.5599	0.7627	2.3226	3.1355	5.4581
1129141	1	2017	Natural Stand	L 	13	945	3	2.56	0.7557	0.1798	0.7794	0.2744	1.0537	0.9355	1.9892
1129306	1	2005	Natural Stand	L 	13	997	14	13.29	36.3652	5.693	6.8854	6.7992	13.6846	42.0583	55.7429
1129306	1	2005	Natural Stand	L 	13	998	14.5	12.69	39.7201	6.1592	7.2357	7.3151	14.5508	45.8793	60.4301
1129306	1	2005	Natural Stand	L 	13	999	13.6	10.09	33.8087	5.3346	6.6088	6.4007	13.0095	39.1434	52.1528
1129306	1	2005	Natural Stand	L 	13	1000	11.7	9.68	23.1572	3.8065	5.3419	4.6778	10.0196	26.9637	36.9833
1129306	1	2005	Natural Stand	L 	13	1001	12.4	9.36	26.8007	4.3364	5.7994	5.2799	11.0793	31.1371	42.2164
1129306	1	2005	Natural Stand	L 	13	1002	10.8	8.13	18.9352	3.181	4.7701	3.9591	8.7292	22.1161	30.8453
1129306	1	2005	Natural Stand	L 	13	1003	11.8	8.05	23.6581	3.8799	5.4065	4.7615	10.168	27.538	37.706
1129306	1	2005	Natural Stand	L 	13	1004	8.2	7.47	9.473	1.7151	3.2312	2.2302	5.4614	11.188	16.6494
1129306	1	2005	Natural Stand	L 	13	1005	8.3	6.43	9.7662	1.7623	3.2871	2.2872	5.5743	11.5285	17.1028
1129306	1	2005	Natural Stand	L 	13	1006	7.5	6.23	7.5689	1.404	2.8481	1.8518	4.6999	8.9729	13.6728
1129306	1	2005	Natural Stand	L 	13	1007	6.5	4.99	5.2814	1.0185	2.3263	1.3743	3.7006	6.3	10.0005
1129306	1	2007	Natural Stand	L 	13	1097	14	13.2	36.3652	5.693	6.8854	6.7992	13.6846	42.0583	55.7429
1129306	1	2007	Natural Stand	L 	13	1098	14.5	12.2	39.7201	6.1592	7.2357	7.3151	14.5508	45.8793	60.4301
1129306	1	2007	Natural Stand	L 	13	1099	13.4	10.4	32.5723	5.1603	6.4717	6.2061	12.6778	37.7326	50.4105
1129306	1	2007	Natural Stand	L 	13	1100	11.7	9.8	23.1572	3.8065	5.3419	4.6778	10.0196	26.9637	36.9833
1129306	1	2007	Natural Stand	L 	13	1101	12.6	9.5	27.901	4.4948	5.9321	5.4589	11.3911	32.3958	43.7869
1129306	1	2007	Natural Stand	L 	13	1102	11	8.76	19.8294	3.3146	4.8955	4.1134	9.0089	23.144	32.1529
1129306	1	2007	Natural Stand	L 	13	1103	11.8	8.53	23.6581	3.8799	5.4065	4.7615	10.168	27.538	37.706
1129306	1	2007	Natural Stand	L 	13	1104	8.4	7.7	10.0648	1.8103	3.3432	2.345	5.6883	11.8751	17.5634
1129306	1	2007	Natural Stand	L 	13	1105	7.7	6.6	8.0868	1.4894	2.9561	1.9562	4.9123	9.5762	14.4884
1129306	1	2007	Natural Stand	L 	13	1106	8.6	6.5	10.6783	1.9084	3.4564	2.4629	5.9193	12.5867	18.506
1129306	1	2007	Natural Stand	L 	13	1107	6.5	5.1	5.2814	1.0185	2.3263	1.3743	3.7006	6.3	10.0005
1129306	1	2018	Natural Stand	L 	13	1197	12.4	10.7	26.8007	4.3364	5.7994	5.2799	11.0793	31.1371	42.2164
1129306	1	2018	Natural Stand	L 	13	1198	13.5	10.6	33.1871	5.2471	6.5402	6.303	12.8432	38.4341	51.2773
1129306	1	2018	Natural Stand	L 	13	1199	9.9	10.2	15.214	2.617	4.2178	3.3025	7.5203	17.8309	25.3513
1129306	1	2018	Natural Stand	L 	13	1200	12.1	9.66	25.1999	4.1046	5.602	5.0172	10.6192	29.3045	39.9237
1129306	1	2018	Natural Stand	L 	13	1201	12.9	9.43	29.6018	4.7384	6.1329	5.7333	11.8662	34.3402	46.2064
1129306	1	2018	Natural Stand	L 	13	1202	10	8.9	15.6034	2.6766	4.2782	3.3724	7.6506	18.28	25.9306
1129306	1	2018	Natural Stand	L 	13	1203	9.4	8.6	13.355	2.3298	3.9197	2.9645	6.8842	15.6848	22.5689
1129306	1	2018	Natural Stand	L 	13	1204	9	7.8	11.9716	2.1133	3.6859	2.7076	6.3935	14.0849	20.4784
1129306	1	2018	Natural Stand	L 	13	1205	10.2	7.5	16.4001	2.7982	4.3997	3.5145	7.9142	19.1983	27.1125
1129306	1	2018	Natural Stand	L 	13	1206	7.2	5.9	6.8305	1.2812	2.6883	1.7007	4.3891	8.1117	12.5007
1129306	1	2018	Natural Stand	L 	13	1207	2.8	3.2	0.6353	0.154	0.7069	0.2376	0.9445	0.7893	1.7339
1135991	1	2008	Natural Stand	V 	13	1308	13.2	7.89	31.3636	4.9892	6.3356	6.0146	12.3502	36.3527	48.7029
1135991	1	2008	Natural Stand	V 	13	1309	10.7	6.78	18.4974	3.1153	4.7078	3.8831	8.5909	21.6126	30.2035
1135991	1	2008	Natural Stand	V 	13	1310	8.7	5.81	10.9933	1.9586	3.5133	2.523	6.0363	12.9519	18.9881
1135991	1	2008	Natural Stand	V 	13	1311	7.1	5.05	6.5944	1.2416	2.6357	1.6519	4.2876	7.836	12.1236
1135991	1	2008	Natural Stand	V 	13	1312	5.8	4.34	3.9656	0.7888	1.98	1.0838	3.0638	4.7544	7.8183
1135991	1	2008	Natural Stand	L 	13	1313	5	4.31	2.7303	0.5655	1.6051	0.7955	2.4006	3.2958	5.6964
1135991	1	2008	Natural Stand	L 	13	1314	3.4	3.11	1.0352	0.2381	0.9303	0.3561	1.2864	1.2733	2.5597
1135991	1	2008	Natural Stand	L 	13	1315	2.6	2.78	0.5273	0.1304	0.6366	0.2036	0.8402	0.6577	1.4979
1135991	1	2008	Natural Stand	L 	13	1316	2.8	2.74	0.6353	0.154	0.7069	0.2376	0.9445	0.7893	1.7339
1135991	1	2019	Natural Stand	L 	13	1318	14.2	8.8	37.6858	5.877	7.0249	7.0032	14.0281	43.5629	57.591
1135991	1	2019	Natural Stand	L 	13	1319	11.5	7.5	22.1746	3.6621	5.2132	4.5127	9.7258	25.8367	35.5625
1135991	1	2019	Natural Stand	L 	13	1320	8.6	7.4	10.6783	1.9084	3.4564	2.4629	5.9193	12.5867	18.506
1135991	1	2019	Natural Stand	L 	13	1321	10.2	6.7	16.4001	2.7982	4.3997	3.5145	7.9142	19.1983	27.1125
1135991	1	2019	Natural Stand	L 	13	1322	8.3	6.5	9.7662	1.7623	3.2871	2.2872	5.5743	11.5285	17.1028
1135991	1	2019	Natural Stand	L 	13	1323	6.8	5.5	5.916	1.127	2.4796	1.5098	3.9893	7.043	11.0323
1135991	1	2019	Natural Stand	L 	13	1324	5.6	4.7	3.6307	0.7291	1.8842	1.0074	2.8915	4.3598	7.2513
1135991	1	2019	Natural Stand	L 	13	1325	5	4.5	2.7303	0.5655	1.6051	0.7955	2.4006	3.2958	5.6964
1135991	1	2019	Natural Stand	L 	13	1326	4.9	4.4	2.5951	0.5404	1.5599	0.7627	2.3226	3.1355	5.4581
1136156	1	2006	Natural Stand	L 	13	1333	22.8	17.01	123.9702	16.9982	13.7241	18.7865	32.5106	140.9684	173.479
1136156	1	2006	Natural Stand	L 	13	1334	20.9	15.62	99.6071	13.9845	12.135	15.671	27.806	113.5916	141.3976
1136156	1	2006	Natural Stand	L 	13	1335	21.3	13.9	104.4707	14.592	12.4648	16.3025	28.7673	119.0627	147.83
1136156	1	2006	Natural Stand	L 	13	1336	13.4	13.42	32.5723	5.1603	6.4717	6.2061	12.6778	37.7326	50.4105
